time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 22:07:29.484,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,98020100B4006400B400FF
Oct 29 22:07:29.521,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:29.558,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:29.562,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,9D020100B4006400B400FF
Oct 29 22:07:29.632,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:29.633,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:29.635,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,A2020100B4006400B400FF
Oct 29 22:07:29.708,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:29.709,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,A7020100B4006400B400FF
Oct 29 22:07:29.746,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:29.782,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:29.784,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,AC020100B4006400B400FF
Oct 29 22:07:29.857,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:29.858,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:29.859,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,B1020100B4006400B400FF
Oct 29 22:07:29.933,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:29.935,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,B6020100B4006400B400FF
Oct 29 22:07:30.007,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:30.008,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.010,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,BB020100B4006400B400FF
Oct 29 22:07:30.083,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.085,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,C0020100B4006400B400FF
Oct 29 22:07:30.121,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:30.158,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.159,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,C5020100B4006400B400FF
Oct 29 22:07:30.232,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.233,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:30.234,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,CA020100B4006400B400FF
Oct 29 22:07:30.308,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.309,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,CF020100B4006400B400FF
Oct 29 22:07:30.346,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:30.382,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.384,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,D4020100B4006400B400FF
Oct 29 22:07:30.457,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.458,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:30.459,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,D9020100B4006400B400FF
Oct 29 22:07:30.532,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.534,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,DE020100B4006400B400FF
Oct 29 22:07:30.607,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:30.608,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.609,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,E3020100B4006400B400FF
Oct 29 22:07:30.683,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.684,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,E8020100B4006400B400FF
Oct 29 22:07:30.721,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:30.758,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:30.759,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,ED020100B4006400B400FF
